index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
4, 2021/11/16 16:06:39.807, 58.16 W, 1387 MHz, 877 MHz, 1387 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29054 MiB, 3456 MiB
5, 2021/11/16 16:06:39.808, 64.10 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29616 MiB, 2894 MiB
6, 2021/11/16 16:06:39.810, 65.58 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 37, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:06:39.812, 62.59 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:44.814, 67.50 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 37 %, 20 %, 33, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:44.816, 66.11 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 36 %, 22 %, 36, P0, 32510 MiB, 29810 MiB, 2700 MiB
2, 2021/11/16 16:06:44.818, 66.11 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 50 %, 27 %, 38, P0, 32510 MiB, 29850 MiB, 2660 MiB
3, 2021/11/16 16:06:44.820, 66.57 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 45 %, 26 %, 32, P0, 32510 MiB, 29704 MiB, 2806 MiB
4, 2021/11/16 16:06:44.822, 65.54 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 35 %, 20 %, 32, P0, 32510 MiB, 29054 MiB, 3456 MiB
5, 2021/11/16 16:06:44.824, 64.10 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 50 %, 27 %, 36, P0, 32510 MiB, 29616 MiB, 2894 MiB
6, 2021/11/16 16:06:44.826, 66.07 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 54 %, 30 %, 38, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:06:44.828, 62.55 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 34 %, 18 %, 32, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:49.829, 67.50 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:49.832, 65.62 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29810 MiB, 2700 MiB
