index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate,memory_total(MiB),memory_free(MiB),memory_used(MiB)
3, 2022/05/12 14:09:59.579, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:09:59.581, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:09:59.583, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32507,3
6, 2022/05/12 14:09:59.585, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
7, 2022/05/12 14:09:59.587, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:10:04.589, 191.36 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],84%,41%,40, P0,32510,30530,1980
1, 2022/05/12 14:10:04.591, 39.93 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
2, 2022/05/12 14:10:04.593, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:10:04.594, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:10:04.596, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:10:04.598, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32507,3
