index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
3, 2021/11/18 10:50:35.027, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:50:35.028, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 20 %, 6 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:50:35.030, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 34, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:50:35.032, 55.57 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:50:35.034, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:50:40.036, 57.44 W, 1395 MHz, 877 MHz, 1395 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:50:40.038, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:50:40.040, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:50:40.042, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:50:40.044, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:50:40.046, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:50:40.048, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:50:40.050, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:50:45.052, 57.48 W, 1395 MHz, 877 MHz, 1395 MHz, [N/A], 14 %, 9 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:50:45.054, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 3 %, 1 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:50:45.056, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:50:45.057, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:50:45.060, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:50:45.062, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 12 %, 5 %, 34, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:50:45.064, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 23 %, 7 %, 33, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:50:45.066, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 19 %, 6 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
